X,Y,objectid,townname,towncensuscode2011,town_lgd_code,ward_lgd_code,ward_lgd_name,sourcewardcode,state,st_area(shape),st_length(shape)
73.0984144889107,19.2110776051959,"28",Kalyan-Dombivli,"802790","251483","48906",Kalyan-Dombivli (M Corp.) - Ward No.83,"83",Maharashtra,177425.163347275,2334.82693230772
73.09061170416,19.2167967572762,"29",Kalyan-Dombivli,"802790","251483","48892",Kalyan-Dombivli (M Corp.) - Ward No.69,"69",Maharashtra,266110.717905635,2967.18299683714
73.0939320689467,19.2129451090852,"30",Kalyan-Dombivli,"802790","251483","48898",Kalyan-Dombivli (M Corp.) - Ward No.75,"75",Maharashtra,189781.184914005,1936.12119676381
73.0932340630997,19.2184739370591,"31",Kalyan-Dombivli,"802790","251483","48893",Kalyan-Dombivli (M Corp.) - Ward No.70,"70",Maharashtra,205067.29163423,2572.21342293959
73.0936560970075,19.2221314624022,"32",Kalyan-Dombivli,"802790","251483","48894",Kalyan-Dombivli (M Corp.) - Ward No.71,"71",Maharashtra,214512.561053245,2658.92075438125
73.0959093254749,19.2189013805648,"33",Kalyan-Dombivli,"802790","251483","48895",Kalyan-Dombivli (M Corp.) - Ward No.72,"72",Maharashtra,146827.70743657,2056.94652346207
73.0996816291357,19.2158517826637,"34",Kalyan-Dombivli,"802790","251483","48897",Kalyan-Dombivli (M Corp.) - Ward No.74,"74",Maharashtra,175457.299484445,2390.56451626808
73.0992693521929,19.2193027510138,"35",Kalyan-Dombivli,"802790","251483","48896",Kalyan-Dombivli (M Corp.) - Ward No.73,"73",Maharashtra,336610.89263921,2708.31419058884
73.1003363340707,19.2234273992376,"36",Kalyan-Dombivli,"802790","251483","48870",Kalyan-Dombivli (M Corp.) - Ward No.47,"47",Maharashtra,310747.337664965,2850.53239583199
73.1388411792749,19.2315203002082,"37",Kalyan-Dombivli,"802790","251483","48915",Kalyan-Dombivli (M Corp.) - Ward No.92,"92",Maharashtra,229396.70643304,2225.30839198111
73.1177207254601,19.2270430039182,"38",Kalyan-Dombivli,"802790","251483","48868",Kalyan-Dombivli (M Corp.) - Ward No.45,"45",Maharashtra,1227416.86224596,5204.00125552966
73.1223941007798,19.2261870019253,"39",Kalyan-Dombivli,"802790","251483","48867",Kalyan-Dombivli (M Corp.) - Ward No.44,"44",Maharashtra,195735.6895724,2737.58193566666
73.1247905134718,19.2281493930436,"40",Kalyan-Dombivli,"802790","251483","48866",Kalyan-Dombivli (M Corp.) - Ward No.43,"43",Maharashtra,532865.785508455,4527.23037433381
73.1440381694582,19.2378843631278,"41",Kalyan-Dombivli,"802790","251483","48709",Kalyan-Dombivli (M Corp.) - Ward No.39,"39",Maharashtra,607768.522467145,4039.54976302318
73.1411539824941,19.2339954663422,"42",Kalyan-Dombivli,"802790","251483","48710",Kalyan-Dombivli (M Corp.) - Ward No.40,"40",Maharashtra,417140.348820805,3274.09236251148
73.1289081615443,19.2287595873053,"43",Kalyan-Dombivli,"802790","251483","48865",Kalyan-Dombivli (M Corp.) - Ward No.42,"42",Maharashtra,287377.37219152,2379.27060390895
73.1318790116219,19.2274524301308,"44",Kalyan-Dombivli,"802790","251483","48912",Kalyan-Dombivli (M Corp.) - Ward No.89,"89",Maharashtra,166932.50746596,2010.37422717653
73.1380892901328,19.2272207167795,"45",Kalyan-Dombivli,"802790","251483","48914",Kalyan-Dombivli (M Corp.) - Ward No.91,"91",Maharashtra,201369.526950485,1906.76494670552
73.1331143559612,19.2310413094555,"46",Kalyan-Dombivli,"802790","251483","48864",Kalyan-Dombivli (M Corp.) - Ward No.41,"41",Maharashtra,306205.113644265,2448.77533558798
73.1431920943496,19.2314580798215,"47",Kalyan-Dombivli,"802790","251483","48917",Kalyan-Dombivli (M Corp.) - Ward No.94,"94",Maharashtra,158788.4124747,2031.71994474507
73.1413309397026,19.2291521526217,"48",Kalyan-Dombivli,"802790","251483","48916",Kalyan-Dombivli (M Corp.) - Ward No.93,"93",Maharashtra,175066.631563655,2324.91512842551
73.1477061482981,19.2427933629988,"62",Kalyan-Dombivli,"802790","251483","48695",Kalyan-Dombivli (M Corp.) - Ward No.25,"25",Maharashtra,364008.449943555,3098.34332894038
73.1178484775249,19.2672828727239,"49",Kalyan-Dombivli,"802790","251483","48671",Kalyan-Dombivli (M Corp.) - Ward No.1,"1",Maharashtra,7019394.06697847,11496.0131049251
73.1204448099855,19.2366171986267,"50",Kalyan-Dombivli,"802790","251483","48704",Kalyan-Dombivli (M Corp.) - Ward No.34,"34",Maharashtra,674009.51758884,3300.86584560875
73.1263848715654,19.235832766631,"51",Kalyan-Dombivli,"802790","251483","48706",Kalyan-Dombivli (M Corp.) - Ward No.36,"36",Maharashtra,348901.20739433,3119.65736021566
73.1186784006912,19.2417864046615,"52",Kalyan-Dombivli,"802790","251483","48703",Kalyan-Dombivli (M Corp.) - Ward No.33,"33",Maharashtra,234551.983183105,2687.6072358642
73.125757617927,19.2395957316277,"53",Kalyan-Dombivli,"802790","251483","48705",Kalyan-Dombivli (M Corp.) - Ward No.35,"35",Maharashtra,206561.069558435,2291.57533052493
73.1214997186597,19.2450748910863,"54",Kalyan-Dombivli,"802790","251483","48702",Kalyan-Dombivli (M Corp.) - Ward No.32,"32",Maharashtra,349298.26759735,3111.81379317312
73.1269817791601,19.2429869818077,"55",Kalyan-Dombivli,"802790","251483","48701",Kalyan-Dombivli (M Corp.) - Ward No.31,"31",Maharashtra,329200.82000305,2542.18647098566
73.1245178577675,19.249145730759,"56",Kalyan-Dombivli,"802790","251483","48691",Kalyan-Dombivli (M Corp.) - Ward No.21,"21",Maharashtra,381604.18023895,2622.59041987584
73.1283376074602,19.2466150211927,"57",Kalyan-Dombivli,"802790","251483","48699",Kalyan-Dombivli (M Corp.) - Ward No.29,"29",Maharashtra,239680.71012256,2121.8407303217
73.1306939390701,19.2510898194802,"58",Kalyan-Dombivli,"802790","251483","48692",Kalyan-Dombivli (M Corp.) - Ward No.22,"22",Maharashtra,253496.39078265,2390.75724516813
73.1330072896331,19.239157358598,"59",Kalyan-Dombivli,"802790","251483","48707",Kalyan-Dombivli (M Corp.) - Ward No.37,"37",Maharashtra,331055.90509961,3500.39498029575
73.1329116962325,19.2466230403476,"63",Kalyan-Dombivli,"802790","251483","48698",Kalyan-Dombivli (M Corp.) - Ward No.28,"28",Maharashtra,344760.54512705,2750.56063996224
73.1396098138025,19.2438105844818,"64",Kalyan-Dombivli,"802790","251483","48696",Kalyan-Dombivli (M Corp.) - Ward No.26,"26",Maharashtra,288011.109756865,2593.15655933355
73.137293715582,19.2503574715367,"65",Kalyan-Dombivli,"802790","251483","48693",Kalyan-Dombivli (M Corp.) - Ward No.23,"23",Maharashtra,441481.96550298,2986.34524748541
73.1383678357685,19.2466290869669,"66",Kalyan-Dombivli,"802790","251483","48697",Kalyan-Dombivli (M Corp.) - Ward No.27,"27",Maharashtra,245805.45375152,2506.15803973503
73.1439323059954,19.2464196051984,"67",Kalyan-Dombivli,"802790","251483","48694",Kalyan-Dombivli (M Corp.) - Ward No.24,"24",Maharashtra,313375.801317425,2564.70452933378
73.1516504508918,19.2470749921814,"68",Kalyan-Dombivli,"802790","251483","48686",Kalyan-Dombivli (M Corp.) - Ward No.16,"16",Maharashtra,383154.445927665,3018.28704510072
73.1460834710404,19.2490011146771,"69",Kalyan-Dombivli,"802790","251483","48687",Kalyan-Dombivli (M Corp.) - Ward No.17,"17",Maharashtra,405920.444678515,2957.65397284785
73.1504531589818,19.2559125127242,"70",Kalyan-Dombivli,"802790","251483","48675",Kalyan-Dombivli (M Corp.) - Ward No.5,"5",Maharashtra,1551517.23495459,5819.01229585797
73.1419573214746,19.2540245325903,"71",Kalyan-Dombivli,"802790","251483","48688",Kalyan-Dombivli (M Corp.) - Ward No.18,"18",Maharashtra,396660.520982465,3052.01126405926
73.1448271464742,19.2619730852103,"72",Kalyan-Dombivli,"802790","251483","48674",Kalyan-Dombivli (M Corp.) - Ward No.4,"4",Maharashtra,1564211.79676987,5554.54335675255
73.1368300670283,19.2551659667762,"73",Kalyan-Dombivli,"802790","251483","48689",Kalyan-Dombivli (M Corp.) - Ward No.19,"19",Maharashtra,267476.97265031,2548.95817974264
73.1354237404518,19.2598731753988,"74",Kalyan-Dombivli,"802790","251483","48673",Kalyan-Dombivli (M Corp.) - Ward No.3,"3",Maharashtra,590578.1608303,4810.13061946967
73.1259143176462,19.2530045455019,"75",Kalyan-Dombivli,"802790","251483","48690",Kalyan-Dombivli (M Corp.) - Ward No.20,"20",Maharashtra,1289747.04640591,6846.70783774211
73.1351038701949,19.2655783103465,"76",Kalyan-Dombivli,"802790","251483","48672",Kalyan-Dombivli (M Corp.) - Ward No.2,"2",Maharashtra,1302221.84979456,5877.47685734812
73.1580054774348,19.2492262790306,"77",Kalyan-Dombivli,"802790","251483","48685",Kalyan-Dombivli (M Corp.) - Ward No.15,"15",Maharashtra,1190926.39315761,5661.20818516273
73.2235834952866,19.2968710573079,"78",Kalyan-Dombivli,"802790","251483","48680",Kalyan-Dombivli (M Corp.) - Ward No.10,"10",Maharashtra,7213840.50455946,14277.3799971141
73.1631083794772,19.2651530093128,"79",Kalyan-Dombivli,"802790","251483","48676",Kalyan-Dombivli (M Corp.) - Ward No.6,"6",Maharashtra,2421013.08398814,7073.00079948078
73.1733839040642,19.2589713213449,"80",Kalyan-Dombivli,"802790","251483","48684",Kalyan-Dombivli (M Corp.) - Ward No.14,"14",Maharashtra,1569440.02446202,5869.10181680487
73.1774636576713,19.2623264313449,"81",Kalyan-Dombivli,"802790","251483","48683",Kalyan-Dombivli (M Corp.) - Ward No.13,"13",Maharashtra,398375.640407665,3012.81295312489
73.1859155985393,19.2586414877609,"82",Kalyan-Dombivli,"802790","251483","48682",Kalyan-Dombivli (M Corp.) - Ward No.12,"12",Maharashtra,1339852.57197429,5426.0891346411
73.1829430156219,19.2772955417928,"83",Kalyan-Dombivli,"802790","251483","48677",Kalyan-Dombivli (M Corp.) - Ward No.7,"7",Maharashtra,2585645.14264038,9871.06036057968
73.1930017426448,19.2724285317459,"84",Kalyan-Dombivli,"802790","251483","48681",Kalyan-Dombivli (M Corp.) - Ward No.11,"11",Maharashtra,6491918.20158862,13081.7690735469
73.1975135053171,19.2975793735555,"85",Kalyan-Dombivli,"802790","251483","48678",Kalyan-Dombivli (M Corp.) - Ward No.8,"8",Maharashtra,2395269.65447367,7093.66681702004
73.2056760763232,19.2946035639607,"86",Kalyan-Dombivli,"802790","251483","48679",Kalyan-Dombivli (M Corp.) - Ward No.9,"9",Maharashtra,918817.80236345,4944.10937373726
73.0725435579051,19.1987512154151,"87",Kalyan-Dombivli,"802790","251483","2517874",Kalyan-Dombivli (M Corp.) - Ward No.114,"114",Maharashtra,5043680.43844903,12270.8426848151
73.0937226598587,19.2033566505961,"88",Kalyan-Dombivli,"802790","251483","2517872",Kalyan-Dombivli (M Corp.) - Ward No.112,"112",Maharashtra,430124.32832409,4328.06897459973
73.086873176176,19.2003949098841,"89",Kalyan-Dombivli,"802790","251483","2517873",Kalyan-Dombivli (M Corp.) - Ward No.113,"113",Maharashtra,676259.43085999,4641.26501359864
73.0888015912401,19.1958203572328,"90",Kalyan-Dombivli,"802790","251483","2517875",Kalyan-Dombivli (M Corp.) - Ward No.115,"115",Maharashtra,596044.095784455,3803.54812579176
73.1226962203833,19.1902324383127,"91",Kalyan-Dombivli,"802790","251483","2517877",Kalyan-Dombivli (M Corp.) - Ward No.117,"117",Maharashtra,7489039.02175835,13794.228463086
73.0780190016732,19.1731963525109,"92",Kalyan-Dombivli,"802790","251483","2517881",Kalyan-Dombivli (M Corp.) - Ward No.121,"121",Maharashtra,5221344.54631632,11222.0359320854
73.1154454307539,19.2079835488871,"99",Kalyan-Dombivli,"802790","251483","2517869",Kalyan-Dombivli (M Corp.) - Ward No.109,"109",Maharashtra,1228033.56282744,4897.36175121617
73.0832634292026,19.1561044542114,"93",Kalyan-Dombivli,"802790","251483","2517882",Kalyan-Dombivli (M Corp.) - Ward No.122,"122",Maharashtra,4138895.79620019,9459.2835459688
